longitude,latitude,route,station_id,Interstate Highways,State Highways US,State Route SR
-112.24906464,40.70954336,80,615,1,0,0
-111.939322185,40.69661892,171,354,0,0,1
-111.9145864,40.84610328,15,616,1,0,0
-112.02983405,40.60345203,85,634,0,0,1
-111.98156,40.71172095,154,711,0,0,1
-111.95240148,40.67443965,215,637,1,0,0
-111.97640319,40.61118492,154,627,0,0,1
-111.92469148,40.8339477,215,628,1,0,0
-111.9423015,40.84090943,67,624,0,0,1
-111.94916764,40.81797352,215,501,1,0,0
-111.93412497,40.7654902,80,340,1,0,0
-111.90397023,40.7078741,15,629,1,0,0
-111.91711647,40.67346657,266,631,0,0,1
-111.95315086,40.70329655,215,353,1,0,0
-111.91401296,40.63625898,215,351,1,0,0
-111.90249535,40.59285859,15,630,1,0,0
-111.89095431,40.5066782,15,302,1,0,0
-111.88820829,40.73686233,89,325,0,1,0
-111.8710576,40.73932598,71,333,0,0,1
-111.83075831,40.75125603,186,332,0,0,1
-111.87397958,40.71825875,80,341,1,0,0
-111.78442883,40.71553241,80,301,1,0,0
-111.87004565,40.66717308,71,406,0,0,1
-111.80696976,40.6557267,215,617,1,0,0
-111.78628478,40.61910527,190,322,0,0,1
-111.77381683,40.57209582,210,317,0,0,1
-111.890966,40.5066782,154,636,0,0,1
-111.91090804,40.46766263,15,635,1,0,0
-111.8907721,40.43112739,15,674,1,0,0
-111.90450089,40.41319646,194,648,0,0,1
-111.94325299,40.38578571,73,626,0,0,1
-111.8497656,40.40104118,15,673,1,0,0
-111.83891696,40.43208856,92,675,0,0,1
-111.82492602,40.38030136,15,672,1,0,0
-111.81321597,40.37925736,89,658,0,1,0
-111.82818221,40.3770632,145,632,0,0,1
-111.79292229,40.36520971,15,671,1,0,0
-111.74920343,40.33719731,15,670,1,0,0
-111.74630349,40.36067737,89,647,0,1,0
-111.72616058,40.3164065,15,641,1,0,0
-111.67798042,40.31199474,52,661,0,0,1
-111.72562136,40.30185353,15,640,1,0,0
-111.69566452,40.2511536,15,306,1,0,0
-111.6584601,40.26396411,189,350,0,1,0
-111.65861147,40.24949711,189,659,0,1,0
-111.66747816,40.23374963,114,649,0,0,1
-111.66541444,40.21569696,15,668,1,0,0
-111.64647388,40.17615888,15,667,1,0,0
-111.61059352,40.17449006,89,660,0,1,0
-111.64671129,40.13274275,15,611,1,0,0
